,Admission (t0),24 hours (t1),48 hours (t2),72 hours (t3),Delta
FIBR_PREDS,0.6504918032786885,0.6973302107728336,0.6833723653395785,0.7219672131147541,0.0714754098360656
PREDS_TAH,0.4516369047619047,0.4241071428571429,0.44345238095238093,0.47098214285714285,0.019345238095238138
JELUD_TAH,0.5833333333333334,0.4964430894308943,0.6128048780487805,0.6397357723577235,0.05640243902439013
FIBR_JELUD,0.5840000000000001,0.5308717948717949,0.606974358974359,0.6574358974358975,0.0734358974358974
A_V_BLOK,0.7734138972809668,0.8516280631084256,0.8449144008056394,0.8475998657267539,0.07418596844578718
OTEK_LANC,0.6388333333333333,0.7293333333333334,0.7860833333333334,0.7733333333333333,0.13450000000000006
RAZRIV,0.5713326619671031,0.5830815709969789,0.5908022826451829,0.6545820745216515,0.08324941255454843
DRESSLER,0.61703125,0.6092187499999999,0.5525,0.5723437499999999,-0.0446875000000001
ZSN,0.6897546897546898,0.6873196248196248,0.7113997113997115,0.7050865800865801,0.015331890331890308
REC_IM,0.675409550365981,0.7017253398396655,0.7438131753224121,0.719850121993726,0.04444057162774495
P_IM_STEN,0.6402191558441558,0.6530032467532468,0.6265219155844156,0.6439732142857144,0.0037540584415586276
LET_IS,0.7474747474747475,0.7995985495985496,0.8040663040663042,0.8282828282828283,0.08080808080808077
